Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of outcome assessment (detection bias),Domain (support): Blinding of outcome assessment (detection bias),Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Baseline imbalance in outcome measurements or characteristics,Domain (support): Baseline imbalance in outcome measurements or characteristics,Domain (judgement): Protection against contamination,Domain (support): Protection against contamination,Domain (judgement): Incorrect analysis,Domain (support): Incorrect analysis,Domain (judgement): Risk of bias overall,Domain (support): Risk of bias overall
Nilsson 2001b,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Prescription data used</p>,Low risk,<p>40 GPs provided data.</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>Randomisation occurred after recruitment was complete.</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate GPs</p>,Unclear risk,"<p>No adjustment for clustering mentioned (t-tests used to compare changes in mean differences, but units of analysis and randomisation are both with individual GPs)</p>",Low risk,<p>Low risk across all important domains</p>
O'Connell 1999,Low risk,<p>Stratification with block size of 4</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Prescribing rates objective data</p>,Low risk,<p>Data from all subjects</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>All eligible general practices were randomised (based on postcode).</p>,Low risk,<p>Table</p>,Low risk,<p>Avoided by postal codes</p>,Low risk,<p>Adjustments for clustering described</p>,Low risk,<p>Low risk across all domains</p>
O'Connor 2009,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate outcomes measured</p>,Unclear risk,<p>Recruitment process not discussed in detail</p>,Low risk,<p>Table 1</p>,Low risk,<p>Separate GPs</p>,Low risk,<p>Adjustments for clustering described</p>,Unclear risk,<p>Unable to assess bias across important domains</p>
Ornstein 2004,Low risk,<p>Baseline adaptive randomisation scheme</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Data from computerised source</p>,Low risk,<p>3/20 subjects dropped out</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No evidence of recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate GPs</p>,Low risk,<p>Random effects for practices used in mixed models to adjust for clustering</p>,Low risk,<p>Low risk across most domains</p>
Ornstein 2010,Low risk,<p>Computer-generated random sequence</p>,Low risk,"<p>As per study flow diagram, allocation was likely done centrally at one time.</p>",Low risk,<p>Outcome measurement is not likely to be influenced by lack of blinding.</p>,Low risk,<p>No missing data noted</p>,Unclear risk,<p>Protocol not available. Outcomes reported in Table 4 as prespecified in Methods</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Low risk,"<p>Baseline characteristics and outcomes balanced between groups, see tables 3 and 4.</p>",Low risk,<p>Control practices unlikely to receive intervention</p>,Low risk,<p>Clustering accounted for in analysis</p>,Low risk,<p>Low risk across most domains</p>
Overbeek 2010,Unclear risk,<p>Randomisation method not described</p>,Unclear risk,<p>No details provided</p>,Unclear risk,<p>It was unclear who the outcome assessors were and then even how they were blinded.</p>,Low risk,<p>No clusters lost/excluded. Some patients were excluded for reasons provided and not in relation to the intervention.</p>,Unclear risk,"<p>There is no protocol available, but all outcomes are reported as prespecified in the Methods.</p>",Low risk,<p>No recruitment of hospitals after allocation. All patients meeting criteria were eligible - no proactive recruitment</p>,Unclear risk,"<p>It is unclear whether adjustments were made at baseline. Baseline characteristics may have some imbalances, but this is not discussed.</p>",Low risk,"<p>Due to cluster design with hospitals as the unit, contamination is unlikely.</p>",Low risk,<p>ORs adjusted for clustering for identification of patients at risk for Lynch syndrome and for applying MSI testing</p>,Unclear risk,<p>Unclear risk across important domains</p>
Palmer 1985a,Low risk,<p>Blocked randomisation</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>High turnover of professionals; impact unclear</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No evidence of additional recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate clusters</p>,Low risk,<p>GLM with mixed effects</p>,Low risk,<p>Low risk across most important domains</p>
Palmer 1985b,Low risk,<p>Blocked randomisation</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>High turnover of professionals; impact unclear</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No evidence of additional recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate clusters</p>,Low risk,<p>GLM with mixed effects</p>,Low risk,<p>Low risk across most important domains</p>
Papadakis 2018,Low risk,"<p>A methods group performed randomisation; thus, it is likely that sequence generation was adequate.</p>",Low risk,<p>Allocation was done centrally by a methods group and likely concealed.</p>,Low risk,"<p>Outcomes were self-reported by patients, who were blinded to their practice's allocation.</p>",Low risk,<p>73% of OMSC group and 81% of OMSC+ group contributed follow-up data and there are no reasons described for missing outcome data. However trial was by ITT.</p>,Low risk,<p>All outcomes specified in the protocol are reported.</p>,Low risk,<p>There is no evidence of recruitment after sites were randomised and allocated.</p>,Low risk,<p>No major differences between groups</p>,Low risk,"<p>Due to the cluster design, it is unlikely that the OMSC sites received the enhanced intervention.</p>",Low risk,<p>Clustering taken into account in analysis</p>,Low risk,<p>Low risk across all domains</p>
Pape 2011,Unclear risk,<p>Method of sequence generation is not reported.</p>,Low risk,<p>Secure cluster allocation used</p>,Low risk,<p>Outcomes were collected by medical records and unlikely to be biased by knowledge of group allocation.</p>,Low risk,"<p>No clusters lost to follow-up, but proportions of patients changed:<br>Intervention group total remained approx same: 28% (lost) + 26% (new)<br>Control group increased by approx 18%: 30% (lost) + 48% (new) (Fig ?, p. 2).</p>",Unclear risk,"<p>There is no trial registration or previously published protocol, so it is unclear if all preplanned outcomes were reported in this publication.</p>",Low risk,<p>No evidence that any recruitment occurred after allocation as all eligible clinics were invited to participate</p>,Low risk,"<p>""Clinics were randomised in a 1:2 intervention-to-control schedule using secure cluster allocation. Unequal allocation was used to accommodate pharmacist workload capacity... Clinics were matched based on the panel size of patients with DM, mean age of the DM panel, and proportion of patients with commercial insurance."" (p. 2)</p>",Low risk,"<p>""Cluster randomisation was used to minimise confusion on the part of physicians and staff and to limit contamination bias"". (p. 6)</p>",Low risk,<p>Analyses was performed adjusted for clustering.</p>,Low risk,<p>Low risk across most domains</p>
Patel M 2018,Low risk,<p>Electronic randomisation is likely to have been set up by statisticians and hence adequate.</p>,Low risk,"<p>While not explicitly stated, given that randomisation was performed centrally and trialists report that ""All investigators, statisticians, and data analysts were blinded to arm assignments until the study and analysis were completed"", it seems highly likely that the study ensured allocation was performed centrally and concealed.</p>",Low risk,<p>All personnel involved in outcome assessment were unaware of allocation.</p>,Low risk,<p>No missing outcomes and ITT analyses performed</p>,Low risk,<p>Prespecified outcome reported</p>,Low risk,<p>No recruitment of PCPs/patients after allocation. Eligible PCPs and patients were included in the study without needing to inform them.</p>,Low risk,"<p>Patients differed slightly across arms in a few sociodemographic and baseline characteristics but were mostly well balanced (Table 2) in the active as the clustering unit. To test the robustness of our findings, we conducted a sensitivity analysis in which the main model was estimated by adjusting for patient characteristics, including age, sex, race/ethnicity, insurance type, median annual household income by zip code, Charlson comorbidity index score, body mass index, most recent LDL-C level measurement, 10-year ASCVD risk score, clinical ASCVD, congestive heart failure, diabetes,&nbsp;hypertension, and smoking history, as well as PCP panel size. In post hoc exploratory analyses, the sensitivity model was further adjusted for PCP degree and using interaction terms of the study arm variables with race/ethnicity and separately with insurance type. To obtain the adjusted difference, 4774 patients were randomised (Figure). The PCPs differed slightly across arms for type of medical degree, but all other characteristics were well balanced (Table 1).</p>",Low risk,"<p>PCPs were unaware they were involved in the trial, and it is unlikely that there would be contamination between arms.</p>",Low risk,<p>Cluster as the unit was used in the analysis.</p>,Low risk,<p>Low risk across all domains</p>
Patel S 2018,Low risk,<p>Coin tossing to generate random sequence</p>,Unclear risk,<p>Unclear if clusters were recruited before randomisation or if they occurred on a single occasion</p>,Low risk,<p>Primary and secondary outcome data were automatically recorded from electronic records and unlikely subject to any bias. Study investigators recorded attendance at STAT rounds (unlikely subject to bias) and surveyed participants on perception of the intervention (knowledge of allocation would not influence reporting of experience of intervention). Analyses were performed and conducted by personnel blinded to group allocation.</p>,Low risk,<p>Small loss to follow-up and reasons given</p>,High risk,"<p>The trial registration has four primary outcomes (which is split into one primary outcome and three secondary outcomes in the trial publication), and four secondary outcomes (only one of which is described in the methods and reported in the results; three preplanned outcomes not reported - total phlebotomy sticks, percent of patients on telemetry until discharge, and proportion of patients discharged by noon). One outcome not in the trial registration added - 30-day patient readmission</p>",Low risk,<p>No evidence of recruitment to the trial after the start of the trial</p>,Low risk,<p>The clinical characteristics of patients discharged from the intervention and control groups did not differ significantly between groups.</p>,High risk,"<p>It appears that within medical teams, different physicians may have been allocated to different trial arms so there may have been risk of contamination.</p>",Low risk,<p>Analysis performed at the cluster level</p>,High risk,<p>High due to potential risk of contamination</p>
